img_idx,IoU_bg,IoU_pet,mIoU,Dice_bg,Dice_pet,mDice
235,0.0849867724865563,0.42164161106130454,0.25331419177393044,0.15665955501334805,0.59317567491083,0.37491761496208903
236,0.09289166081514004,0.2803827124082041,0.18663718661167208,0.16999244142069161,0.43796703859090236,0.303979740005797
237,0.1068562073231904,0.2567127475736795,0.18178447744843496,0.1930805584613567,0.4085464209212675,0.30081348969131205
238,0.08572758174149052,0.2628427869944651,0.17428518436797782,0.15791729561477066,0.4162715893084752,0.2870944424616229
239,0.14361544538775525,0.419163080425963,0.2813892629068591,0.2511603808202518,0.5907186935840395,0.42093953720214566
240,0.17165726972577003,0.5247234327849066,0.3481903512553383,0.29301618171318466,0.6882867036764818,0.49065144269483324
241,0.01880324813625265,0.5462129257660399,0.28250808695114626,0.036912422826783024,0.7065170865719284,0.37171475469935567
242,0.10316529894468437,0.2931626187957148,0.1981639588701996,0.1870350690750967,0.4534041032963491,0.3202195861857229
243,0.11992759088806786,0.6257617550827094,0.3728446729853886,0.21417025861996844,0.7698074494941901,0.49198885405707926
244,0.06807965783074596,0.4573345812769368,0.2627071195538414,0.12748048768013193,0.6276315503008429,0.3775560189904874
245,0.03544341153892447,0.4919717105766815,0.26370756105780296,0.0684603545571782,0.6594920092506621,0.3639761819039201
246,0.10441567065029708,0.6575690257050816,0.38099234817768934,0.18908762964005302,0.7934137468880017,0.49125068826402735
247,0.16239586116401739,0.4140186915880815,0.2882072763760495,0.27941575944944436,0.5855915399860775,0.4325036497177609
248,0.09968253968222322,0.5454836848507189,0.322583112266471,0.18129330253989234,0.7059067529443485,0.4436000277421204
249,0.088081322881511,0.47201552376600164,0.28004842332375635,0.16190209505342792,0.6413186765291687,0.4016103857912983
250,0.1168918672831757,0.17967758851061508,0.1482847278968954,0.20931635497984882,0.30462151737147847,0.25696893617566363
251,0.09299847354600098,0.49456722358564115,0.29378284856582104,0.17017127799691653,0.6618199780925433,0.41599562804472995
252,0.08608518010890309,0.43186458115576726,0.2589748806323352,0.1585238095234321,0.6032198670731507,0.3808718382982914
253,0.03442050315932956,0.619511591579487,0.32696604736940826,0.0665503111243491,0.7650597807395574,0.4158050459319532
254,0.07291915096567815,0.507085116499434,0.29000213373255607,0.1359266462902586,0.6729349403665542,0.4044307933284064
255,0.0,0.560653686522582,0.280326843261291,0.0,0.7184857106534885,0.35924285532674427
256,0.18306669948268997,0.4286894557464479,0.3058780776145689,0.30947823916054445,0.6001156570760444,0.4547969481182944
257,0.09383398901533192,0.6314730622386119,0.3626535256269719,0.1715689765680095,0.774113991648923,0.47284148410846627
258,0.07858568796038626,0.6219660098589961,0.35027584890969116,0.1457198789815066,0.7669285374396545,0.45632420821058056
259,0.10497219811620553,0.5528023125091491,0.3288872553126773,0.18999970912420372,0.7120060397332671,0.45100287442873543
260,0.16740998838520926,0.3855029230736246,0.2764564557294169,0.28680581809442107,0.5564808513264166,0.4216433347104188
261,0.10739651536980524,0.47826157463637675,0.292829045003091,0.1939621696099362,0.6470594688277949,0.4205108192188655
262,0.028373590111091467,0.4429574953084452,0.23566554270976833,0.05518148342962866,0.6139577870431436,0.33456963523638616
263,0.09080586933710608,0.4996715638359747,0.2952387165865404,0.16649318066520807,0.6663746594726069,0.41643392006890745
264,0.08075712810146103,0.38448547624347074,0.23262130217246588,0.14944546929489155,0.555420021142723,0.3524327452188073
265,0.15091270558412828,0.6171835530701631,0.3840481293271457,0.2622487437177693,0.76328200580381,0.5127653747607896
266,0.05151651990648184,0.6071968457297252,0.32935668281810354,0.09798518412447488,0.7555973586471744,0.4267912713858246
267,0.10998892728883002,0.5739503356989079,0.34196963149386894,0.19818022429733628,0.7293118755796661,0.4637460499385012
268,0.18559163530615952,0.3692670157061618,0.2774293255061607,0.31307851671580583,0.5393645088510696,0.4262215127834377
269,0.010513829729847107,0.436588585637742,0.22355120768379455,0.02080887845475187,0.6078129674738131,0.3143109229642825
270,0.0905109000933178,0.5670629804698991,0.3287869402816085,0.1659972405329879,0.723727109295709,0.4448621749143485
271,0.14107406208359025,0.6124419774716583,0.37675801977762424,0.24726539104042095,0.7596452908426259,0.5034553409415234
